model_base,body_size,cylinder_size,action_type,spring_range,base_price,torque_symmetric,torque_canted,connect_flange,L1,L2,m1,m2,A,H1,H2,D,G
SF40-700SR3,SF40,700,SR,SR3,35071,"{""sst"":16359,""srt"":8256,""set"":10272,""ast_0.3"":18564,""art_0.3"":9623,""aet_0.3"":12477,""ast_0.4"":28548,""art_0.4"":15110,""aet_0.4"":21818,""ast_0.5"":38259,""art_0.5"":20936,""aet_0.5"":31528}","{""sst"":14696,""srt"":8877,""set"":13090,""ast_0.3"":25702,""art_0.3"":9893,""aet_0.3"":11206,""ast_0.4"":38774,""art_0.4"":16149,""aet_0.4"":20035,""ast_0.5"":51846,""art_0.5"":22406,""aet_0.5"":28865}","ISO 5211 F40",982,1760,237.5,555,170,196,216,770,"NPT1"""
SF40-700SR4,SF40,700,SR,SR4,37793,"{""sst"":21426,""srt"":10879,""set"":13666,""ast_0.3"":15444,""art_0.3"":6745,""aet_0.3"":7041,""ast_0.4"":24782,""art_0.4"":12960,""aet_0.4"":17023,""ast_0.5"":35119,""art_0.5"":18398,""aet_0.5"":26461}","{""sst"":19070,""srt"":11615,""set"":17420,""ast_0.3"":21232,""art_0.3"":7155,""aet_0.3"":6657,""ast_0.4"":34304,""art_0.4"":13411,""aet_0.4"":15486,""ast_0.5"":47375,""art_0.5"":19668,""aet_0.5"":24316}","ISO 5211 F40",982,1760,237.5,555,170,196,216,770,"NPT1"""
SF40-700SR5,SF40,700,SR,SR5,42535,"{""sst"":30015,""srt"":15120,""set"":18757,""ast_0.3"":20074,""art_0.3"":8665,""aet_0.3"":8811,""ast_0.4"":29304,""art_0.4"":14679,""aet_0.4"":18046,""ast_0.5"":39495,""art_0.5"":20318,""aet_0.5"":28232}","{""sst"":25924,""srt"":15836,""set"":23890,""ast_0.3"":27625,""art_0.3"":9190,""aet_0.3"":8358,""ast_0.4"":40696,""art_0.4"":15447,""aet_0.4"":17187,""ast_0.5"":53768,""art_0.5"":21703,""aet_0.5"":26017}","ISO 5211 F40",982,1760,237.5,555,170,196,216,770,"NPT1"""
SF40-700SR6,SF40,700,SR,SR6,44152,"{""sst"":35425,""srt"":17702,""set"":21679,""ast_0.3"":26617,""art_0.3"":11896,""aet_0.3"":13036,""ast_0.4"":35995,""art_0.4"":18056,""aet_0.4"":22248,""ast_0.5"":46316,""art_0.5"":23549,""aet_0.5"":32907}","{""sst"":30659,""srt"":18653,""set"":27913,""ast_0.3"":36544,""art_0.3"":12630,""aet_0.3"":12263,""ast_0.4"":49615,""art_0.4"":18886,""aet_0.4"":21093,""ast_0.5"":62687,""art_0.5"":25143,""aet_0.5"":29922}","ISO 5211 F40",982,1760,237.5,555,170,196,216,770,"NPT1"""
SF40-800SR3,SF40,800,SR,SR3,41217,"{""sst"":21426,""srt"":10879,""set"":13666,""ast_0.3"":23998,""art_0.3"":12460,""aet_0.3"":16238,""ast_0.4"":37164,""art_0.4"":19778,""aet_0.4"":28761,""ast_0.5"":50133,""art_0.5"":27405,""aet_0.5"":41474}","{""sst"":19070,""srt"":11615,""set"":17420,""ast_0.3"":33358,""art_0.3"":12959,""aet_0.3"":14847,""ast_0.4"":50472,""art_0.4"":21150,""aet_0.4"":26407,""ast_0.5"":67585,""art_0.5"":29341,""aet_0.5"":37967}","ISO 5211 F40",986,1760,237.5,610,170,196,216,880,"NPT1.1/2"""
SF40-800SR4,SF40,800,SR,SR4,45959,"{""sst"":30015,""srt"":15120,""set"":18757,""ast_0.3"":19372,""art_0.3"":8244,""aet_0.3"":8108,""ast_0.4"":31461,""art_0.4"":16016,""aet_0.4"":20203,""ast_0.5"":44798,""art_0.5"":23500,""aet_0.5"":33534}","{""sst"":25924,""srt"":15836,""set"":23890,""ast_0.3"":26679,""art_0.3"":8737,""aet_0.3"":7719,""ast_0.4"":43793,""art_0.4"":16929,""aet_0.4"":19279,""ast_0.5"":60906,""art_0.5"":25120,""aet_0.5"":30839}","ISO 5211 F40",986,1760,237.5,610,170,196,216,880,"NPT1.1/2"""
SF40-800SR5,SF40,800,SR,SR5,47576,"{""sst"":35425,""srt"":17702,""set"":21679,""ast_0.3"":28917,""art_0.3"":13276,""aet_0.3"":15336,""ast_0.4"":41095,""art_0.4"":21218,""aet_0.4"":27349,""ast_0.5"":54343,""art_0.5"":28532,""aet_0.5"":40763}","{""sst"":30659,""srt"":18653,""set"":27913,""ast_0.3"":39640,""art_0.3"":14112,""aet_0.3"":14354,""ast_0.4"":56753,""art_0.4"":22303,""aet_0.4"":25914,""ast_0.5"":73867,""art_0.5"":30494,""aet_0.5"":37474}","ISO 5211 F40",986,1760,237.5,610,170,196,216,880,"NPT1.1/2"""
SF40-800SR6,SF40,800,SR,SR6,53498,"{""sst"":47742,""srt"":23883,""set"":29300,""ast_0.3"":36348,""art_0.3"":16304,""aet_0.3"":17999,""ast_0.4"":46029,""art_0.4"":22821,""aet_0.4"":28593,""ast_0.5"":62120,""art_0.5"":31560,""aet_0.5"":44003}","{""sst"":39335,""srt"":23663,""set"":34598,""ast_0.3"":49852,""art_0.3"":17293,""aet_0.3"":16891,""ast_0.4"":66966,""art_0.4"":25484,""aet_0.4"":28451,""ast_0.5"":84080,""art_0.5"":33675,""aet_0.5"":40011}","ISO 5211 F40",986,1760,237.5,610,170,196,216,880,"NPT1.1/2"""SF48-800SR3,SF48,800,SR,SR3,53069,"{""sst"":26619,""srt"":13330,""set"":16381,""ast_0.3"":27930,""art_0.3"":14142,""aet_0.3"":17691,""ast_0.4"":42377,""art_0.4"":22682,""aet_0.4"":33230,""ast_0.5"":57317,""art_0.5"":31646,""aet_0.5"":48170}","{""sst"":23094,""srt"":14676,""set"":23483,""ast_0.3"":36450,""art_0.3"":14465,""aet_0.3"":16841,""ast_0.4"":56648,""art_0.4"":24178,""aet_0.4"":30497,""ast_0.5"":76845,""art_0.5"":33892,""aet_0.5"":44152}","ISO 5211 F48",1131,2283,280,640,200,224,243,880,"NPT1.1/2"""
SF48-800SR4,SF48,800,SR,SR4,58765,"{""sst"":33844,""srt"":16948,""set"":20827,""ast_0.3"":22038,""art_0.3"":9318,""aet_0.3"":9021,""ast_0.4"":38254,""art_0.4"":19417,""aet_0.4"":25237,""ast_0.5"":51918,""art_0.5"":27245,""aet_0.5"":38901}","{""sst"":29956,""srt"":18876,""set"":27570,""ast_0.3"":32249,""art_0.3"":10265,""aet_0.3"":9674,""ast_0.4"":52446,""art_0.4"":19979,""aet_0.4"":23329,""ast_0.5"":72643,""art_0.5"":29693,""aet_0.5"":36985}","ISO 5211 F48",1131,2283,280,640,200,224,243,880,"NPT1.1/2"""
SF48-800SR5,SF48,800,SR,SR5,62600,"{""sst"":45789,""srt"":23214,""set"":29097,""ast_0.3"":31836,""art_0.3"":13842,""aet_0.3"":14336,""ast_0.4"":44755,""art_0.4"":22574,""aet_0.4"":28063,""ast_0.5"":61685,""art_0.5"":31770,""aet_0.5"":44215}","{""sst"":38008,""srt"":24154,""set"":38649,""ast_0.3"":41057,""art_0.3"":14701,""aet_0.3"":14917,""ast_0.4"":61255,""art_0.4"":24415,""aet_0.4"":28573,""ast_0.5"":81452,""art_0.5"":34128,""aet_0.5"":42228}","ISO 5211 F48",1131,2283,280,640,200,224,243,880,"NPT1.1/2"""
SF48-800SR6,SF48,800,SR,SR6,69067,"{""sst"":57348,""srt"":28690,""set"":35200,""ast_0.3"":40774,""art_0.3"":17680,""aet_0.3"":18159,""ast_0.4"":53420,""art_0.4"":26257,""aet_0.4"":31275,""ast_0.5"":71083,""art_0.5"":35608,""aet_0.5"":49632}","{""sst"":48076,""srt"":30223,""set"":45237,""ast_0.3"":54481,""art_0.3"":18346,""aet_0.3"":18055,""ast_0.4"":74679,""art_0.4"":28059,""aet_0.4"":31711,""ast_0.5"":94876,""art_0.5"":37773,""aet_0.5"":45366}","ISO 5211 F48",1131,2283,280,640,200,224,243,880,"NPT1.1/2"""
SF48-900SR3,SF48,900,SR,SR3,63165,"{""sst"":33844,""srt"":16948,""set"":20827,""ast_0.3"":35254,""art_0.3"":17822,""aet_0.3"":22237,""ast_0.4"":53968,""art_0.4"":28476,""aet_0.4"":40951,""ast_0.5"":72911,""art_0.5"":39841,""aet_0.5"":59894}","{""sst"":29956,""srt"":18876,""set"":27570,""ast_0.3"":48486,""art_0.3"":18075,""aet_0.3"":20652,""ast_0.4"":74096,""art_0.4"":30392,""aet_0.4"":37967,""ast_0.5"":99706,""art_0.5"":42708,""aet_0.5"":55282}","ISO 5211 F48",1151,2283,280,695,200,224,243,990,"NPT2"""
SF48-900SR4,SF48,900,SR,SR4,67000,"{""sst"":45789,""srt"":23344,""set"":29097,""ast_0.3"":28877,""art_0.3"":12085,""aet_0.3"":11407,""ast_0.4"":45677,""art_0.4"":23146,""aet_0.4"":28986,""ast_0.5"":66763,""art_0.5"":34817,""aet_0.5"":49293}","{""sst"":38008,""srt"":24154,""set"":38649,""ast_0.3"":37097,""art_0.3"":12796,""aet_0.3"":12240,""ast_0.4"":62707,""art_0.4"":25113,""aet_0.4"":29555,""ast_0.5"":88317,""art_0.5"":37430,""aet_0.5"":46870}","ISO 5211 F48",1151,2283,280,695,200,224,243,990,"NPT2"""
SF48-900SR5,SF48,900,SR,SR5,73467,"{""sst"":57348,""srt"":28690,""set"":35200,""ast_0.3"":41849,""art_0.3"":18324,""aet_0.3"":19233,""ast_0.4"":58269,""art_0.4"":29261,""aet_0.4"":36121,""ast_0.5"":79735,""art_0.5"":41056,""aet_0.5"":57120}","{""sst"":48076,""srt"":30223,""set"":45237,""ast_0.3"":55934,""art_0.3"":19044,""aet_0.3"":19038,""ast_0.4"":81544,""art_0.4"":31361,""aet_0.4"":36352,""ast_0.5"":107154,""art_0.5"":43678,""aet_0.5"":53667}","ISO 5211 F48",1151,2283,280,695,200,224,243,990,"NPT2"""
SF48-900SR6,SF48,900,SR,SR6,76916,"{""sst"":69602,""srt"":34788,""set"":42618,""ast_0.3"":50401,""art_0.3"":22830,""aet_0.3"":25698,""ast_0.4"":69545,""art_0.4"":34753,""aet_0.4"":42561,""ast_0.5"":88848,""art_0.5"":45562,""aet_0.5"":68454}","{""sst"":56128,""srt"":35501,""set"":56315,""ast_0.3"":70155,""art_0.3"":26083,""aet_0.3"":27941,""ast_0.4"":95765,""art_0.4"":38399,""aet_0.4"":45256,""ast_0.5"":121375,""art_0.5"":50716,""aet_0.5"":62571}","ISO 5211 F48",1151,2283,280,695,200,224,243,990,"NPT2"""
SF48-1000SR3,SF48,1000,SR,SR3,70790,"{""sst"":45789,""srt"":23215,""set"":29097,""ast_0.3"":40140,""art_0.3"":19712,""aet_0.3"":23447,""ast_0.4"":65718,""art_0.4"":34190,""aet_0.4"":48248,""ast_0.5"":89136,""art_0.5"":48240,""aet_0.5"":71666}","{""sst"":38008,""srt"":24154,""set"":38649,""ast_0.3"":55245,""art_0.3"":21524,""aet_0.3"":24510,""ast_0.4"":86904,""art_0.4"":36751,""aet_0.4"":45915,""ast_0.5"":118564,""art_0.5"":51977,""aet_0.5"":67320}","ISO 5211 F48",1151,2283,280,745,200,224,243,1090,"NPT2"""
SF48-1000SR4,SF48,1000,SR,SR4,77257,"{""sst"":57348,""srt"":28690,""set"":35200,""ast_0.3"":36329,""art_0.3"":15013,""aet_0.3"":13714,""ast_0.4"":57115,""art_0.4"":28546,""aet_0.4"":34968,""ast_0.5"":83164,""art_0.5"":43114,""aet_0.5"":60549}","{""sst"":48076,""srt"":30223,""set"":45237,""ast_0.3"":48472,""art_0.3"":15455,""aet_0.3"":13992,""ast_0.4"":80131,""art_0.4"":30682,""aet_0.4"":35397,""ast_0.5"":111790,""art_0.5"":45908,""aet_0.5"":56802}","ISO 5211 F48",1151,2283,280,745,200,224,243,1090,"NPT2"""
SF48-1000SR5,SF48,1000,SR,SR5,80706,"{""sst"":69602,""srt"":34789,""set"":42618,""ast_0.3"":49356,""art_0.3"":22203,""aet_0.3"":24653,""ast_0.4"":72776,""art_0.4"":36756,""aet_0.4"":45792,""ast_0.5"":96191,""art_0.5"":50304,""aet_0.5"":71488}","{""sst"":56128,""srt"":35501,""set"":56315,""ast_0.3"":68742,""art_0.3"":25403,""aet_0.3"":26986,""ast_0.4"":100402,""art_0.4"":40629,""aet_0.4"":48391,""ast_0.5"":132061,""art_0.5"":55856,""aet_0.5"":69795}","ISO 5211 F48",1151,2283,280,745,200,224,243,1090,"NPT2"""
SF48-1000SR6,SF48,1000,SR,SR6,86150,"{""sst"":82680,""srt"":41743,""set"":51976,""ast_0.3"":63947,""art_0.3"":29404,""aet_0.3"":34069,""ast_0.4"":86497,""art_0.4"":42250,""aet_0.4"":55793,""ast_0.5"":111455,""art_0.5"":57506,""aet_0.5"":87784}","{""sst"":66620,""srt"":42184,""set"":67049,""ast_0.3"":89367,""art_0.3"":33947,""aet_0.3"":37430,""ast_0.4"":121026,""art_0.4"":49173,""aet_0.4"":58834,""ast_0.5"":152685,""art_0.5"":64399,""aet_0.5"":80239}","ISO 5211 F48",1151,2283,280,745,200,224,243,1090,"NPT2"""
SF60-800SR3,SF60,800,SR,SR3,70631,"{""sst"":36800,""srt"":18478,""set"":22805,""ast_0.3"":35799,""art_0.3"":18379,""aet_0.3"":21805,""ast_0.4"":57777,""art_0.4"":30855,""aet_0.4"":45075,""ast_0.5"":77866,""art_0.5"":42909,""aet_0.5"":65165}","{""sst"":31941,""srt"":19916,""set"":32039,""ast_0.3"":47846,""art_0.3"":18571,""aet_0.3"":21462,""ast_0.4"":74777,""art_0.4"":31400,""aet_0.4"":39637,""ast_0.5"":101709,""art_0.5"":44230,""aet_0.5"":57811}","ISO 5211 F60",1395,3025,343,710,270,230,258,880,"NPT1.1/2"""
SF60-800SR4,SF60,800,SR,SR4,78985,"{""sst"":47118,""srt"":23238,""set"":27842,""ast_0.3"":29373,""art_0.3"":12290,""aet_0.3"":13926,""ast_0.4"":51918,""art_0.4"":26214,""aet_0.4"":32642,""ast_0.5"":69553,""art_0.5"":37097,""aet_0.5"":54105}","{""sst"":39992,""srt"":24777,""set"":39391,""ast_0.3"":40286,""art_0.3"":13710,""aet_0.3"":13129,""ast_0.4"":67217,""art_0.4"":26539,""aet_0.4"":31304,""ast_0.5"":94148,""art_0.5"":39368,""aet_0.5"":49478}","ISO 5211 F60",1395,3025,343,710,270,230,258,880,"NPT1.1/2"""
SF60-800SR5,SF60,800,SR,SR5,84276,"{""sst"":63398,""srt"":31515,""set"":38261,""ast_0.3"":43980,""art_0.3"":19372,""aet_0.3"":20595,""ast_0.4"":61439,""art_0.4"":30300,""aet_0.4"":36302,""ast_0.5"":84160,""art_0.5"":43480,""aet_0.5"":60774}","{""sst"":51009,""srt"":31902,""set"":51604,""ast_0.3"":54658,""art_0.3"":19415,""aet_0.3"":19899,""ast_0.4"":81589,""art_0.4"":32244,""aet_0.4"":38074,""ast_0.5"":108521,""art_0.5"":45073,""aet_0.5"":56248}","ISO 5211 F60",1395,3025,343,710,270,230,258,880,"NPT1.1/2"""
SF60-800SR6,SF60,800,SR,SR6,93599,"{""sst"":78878,""srt"":39710,""set"":49217,""ast_0.3"":54943,""art_0.3"":25519,""aet_0.3"":30122,""ast_0.4"":70724,""art_0.4"":34468,""aet_0.4"":40762,""ast_0.5"":91614,""art_0.5"":47145,""aet_0.5"":67106}","{""sst"":64258,""srt"":39812,""set"":63294,""ast_0.3"":69568,""art_0.3"":24333,""aet_0.3"":24360,""ast_0.4"":96499,""art_0.4"":37162,""aet_0.4"":42535,""ast_0.5"":123430,""art_0.5"":49992,""aet_0.5"":60709}","ISO 5211 F60",1395,3025,343,710,270,230,258,880,"NPT1.1/2"""
SF60-900SR3,SF60,900,SR,SR3,83585,"{""sst"":47118,""srt"":23238,""set"":27842,""ast_0.3"":47867,""art_0.3"":23702,""aet_0.3"":28592,""ast_0.4"":72798,""art_0.4"":39044,""aet_0.4"":57351,""ast_0.5"":98293,""art_0.5"":54341,""aet_0.5"":82845}","{""sst"":39992,""srt"":24777,""set"":39391,""ast_0.3"":62022,""art_0.4"":24064,""aet_0.3"":27798,""ast_0.4"":96198,""art_0.4"":40345,""aet_0.4"":50861,""ast_0.5"":130375,""art_0.5"":56625,""aet_0.5"":73925}","ISO 5211 F60",1415,3025,343,765,270,230,258,990,"NPT2"""
SF60-900SR4,SF60,900,SR,SR4,88876,"{""sst"":63398,""srt"":31514,""set"":38261,""ast_0.3"":40105,""art_0.3"":17047,""aet_0.3"":16720,""ast_0.4"":62685,""art_0.4"":31072,""aet_0.4"":37548,""ast_0.5"":91094,""art_0.5"":47640,""aet_0.5"":67708}","{""sst"":51009,""srt"":31902,""set"":51604,""ast_0.3"":49463,""art_0.3"":16940,""aet_0.3"":16393,""ast_0.4"":83639,""art_0.4"":33220,""aet_0.4"":39457,""ast_0.5"":117816,""art_0.5"":49501,""aet_0.5"":62521}","ISO 5211 F60",1415,3025,343,765,270,230,258,990,"NPT2"""
SF60-900SR5,SF60,900,SR,SR5,98199,"{""sst"":78878,""srt"":39710,""set"":49217,""ast_0.3"":52335,""art_0.3"":23954,""aet_0.3"":27514,""ast_0.4"":76967,""art_0.4"":38524,""aet_0.4"":47305,""ast_0.5"":103324,""art_0.5"":54548,""aet_0.5"":78503}","{""sst"":64258,""srt"":39812,""set"":63294,""ast_0.3"":72347,""art_0.3"":33580,""aet_0.3"":39588,""ast_0.4"":93243,""art_0.4"":46119,""aet_0.4"":55529,""ast_0.5"":124034,""art_0.5"":64174,""aet_0.5"":92334}","ISO 5211 F60",1415,3025,343,765,270,230,258,990,"NPT2"""
SF60-900SR6,SF60,900,SR,SR6,102969,"{""sst"":95891,""srt"":47761,""set"":58177,""ast_0.3"":72347,""art_0.3"":33580,""aet_0.3"":39588,""ast_0.4"":93243,""art_0.4"":46119,""aet_0.4"":55529,""ast_0.5"":124034,""art_0.5"":64174,""aet_0.5"":92334}","{""sst"":75276,""srt"":46937,""set"":75507,""ast_0.3"":93236,""art_0.3"":34466,""aet_0.3"":37403,""ast_0.4"":127412,""art_0.4"":50747,""aet_0.4"":60467,""ast_0.5"":161589,""art_0.5"":67027,""aet_0.5"":83531}","ISO 5211 F60",1415,3025,343,765,270,230,258,990,"NPT2"""
SF60-1000SR3,SF60,1000,SR,SR3,92889,"{""sst"":63398,""srt"":31514,""set"":38261,""ast_0.3"":55207,""art_0.3"":26436,""aet_0.3"":30071,""ast_0.4"":89762,""art_0.4"":46841,""aet_0.4"":66376,""ast_0.5"":121297,""art_0.5"":65762,""aet_0.5"":97911}","{""sst"":51009,""srt"":31902,""set"":51604,""ast_0.3"":73756,""art_0.3"":28512,""aet_0.3"":32787,""ast_0.4"":116030,""art_0.4"":48650,""aet_0.4"":61316,""ast_0.5"":158305,""art_0.5"":68788,""aet_0.5"":89845}","ISO 5211 F60",1415,3025,343,815,270,230,258,1090,"NPT2"""
SF60-1000SR4,SF60,1000,SR,SR4,102213,"{""sst"":78878,""srt"":39048,""set"":49217,""ast_0.3"":44962,""art_0.3"":19531,""aet_0.3"":20141,""ast_0.4"":75409,""art_0.4"":38220,""aet_0.4"":45747,""ast_0.5"":108032,""art_0.5"":57373,""aet_0.5"":83211}","{""sst"":64258,""srt"":39812,""set"":63294,""ast_0.3"":61735,""art_0.3"":20602,""aet_0.3"":19074,""ast_0.4"":104009,""art_0.4"":40740,""aet_0.4"":47602,""ast_0.5"":146283,""art_0.5"":60878,""aet_0.5"":76131}","ISO 5211 F60",1415,3025,343,815,270,230,258,1090,"NPT2"""
SF60-1000SR5,SF60,1000,SR,SR5,106983,"{""sst"":95891,""srt"":47761,""set"":58177,""ast_0.3"":71015,""art_0.3"":32781,""aet_0.3"":38256,""ast_0.4"":97605,""art_0.4"":48824,""aet_0.4"":59891,""ast_0.5"":134084,""art_0.5"":70623,""aet_0.5"":101326}","{""sst"":75276,""srt"":46937,""set"":75507,""ast_0.3"":91450,""art_0.3"":33615,""aet_0.3"":36198,""ast_0.4"":133724,""art_0.4"":53753,""aet_0.4"":64727,""ast_0.5"":175999,""art_0.5"":73891,""aet_0.5"":93255}","ISO 5211 F60",1415,3025,343,815,270,230,258,1090,"NPT2"""
SF60-1000SR6,SF60,1000,SR,SR6,113342,"{""sst"":112369,""srt"":57081,""set"":71764,""ast_0.3"":85557,""art_0.3"":38456,""aet_0.3"":42630,""ast_0.4"":115175,""art_0.4"":58821,""aet_0.4"":74570,""ast_0.5"":149541,""art_0.5"":76299,""aet_0.5"":116923}","{""sst"":90742,""srt"":56466,""set"":90500,""ast_0.3"":118306,""art_0.3"":44225,""aet_0.3"":48719,""ast_0.4"":160580,""art_0.4"":64363,""aet_0.4"":77248,""ast_0.5"":202855,""art_0.5"":84501,""aet_0.5"":105776}","ISO 5211 F60",1415,3025,343,815,270,230,258,1090,"NPT2"""
SF60-1100SR3,SF60,1100,SR,SR3,106288,"{""sst"":78878,""srt"":34854,""set"":49217,""ast_0.3"":63881,""art_0.3"":35266,""aet_0.3"":34219,""ast_0.4"":107340,""art_0.4"":56957,""aet_0.4"":82519,""ast_0.5"":145551,""art_0.5"":79884,""aet_0.5"":120730}","{""sst"":64258,""srt"":39812,""set"":63294,""ast_0.3"":88585,""art_0.3"":33392,""aet_0.3"":37194,""ast_0.4"":139809,""art_0.4"":57794,""aet_0.4"":71762,""ast_0.5"":191034,""art_0.5"":82196,""aet_0.5"":106331}","ISO 5211 F60",1415,3025,343,865,270,230,258,1190,"NPT2"""
SF60-1100SR4,SF60,1100,SR,SR4,111059,"{""sst"":95891,""srt"":47761,""set"":58177,""ast_0.3"":59509,""art_0.3"":25878,""aet_0.3"":26750,""ast_0.4"":92620,""art_0.4"":45733,""aet_0.4"":54906,""ast_0.5"":135392,""art_0.5"":71731,""aet_0.5"":103732}","{""sst"":75276,""srt"":46937,""set"":75507,""ast_0.3"":76026,""art_0.3"":26268,""aet_0.3"":25789,""ast_0.4"":127251,""art_0.4"":50669,""aet_0.4"":60358,""ast_0.5"":178475,""art_0.5"":75071,""aet_0.5"":94926}","ISO 5211 F60",1415,3025,343,865,270,230,258,1190,"NPT2"""
SF60-1100SR5,SF60,1100,SR,SR5,117418,"{""sst"":112369,""srt"":57081,""set"":71764,""ast_0.3"":80728,""art_0.3"":35559,""aet_0.3"":37801,""ast_0.4"":116733,""art_0.4"":59787,""aet_0.4"":76127,""ast_0.5"":157151,""art_0.5"":81412,""aet_0.5"":114224}","{""sst"":90742,""srt"":56466,""set"":90500,""ast_0.3"":111832,""art_0.3"":41141,""aet_0.3"":44350,""ast_0.4"":163056,""art_0.4"":65542,""aet_0.4"":78919,""ast_0.5"":214281,""art_0.5"":89944,""aet_0.5"":113487}","ISO 5211 F60",1415,3025,343,865,270,230,258,1190,"NPT2"""
SF60-1100SR6,SF60,1100,SR,SR6,,,"{""sst"":112369,""srt"":57081,""set"":71764,""ast_0.3"":85557,""art_0.3"":38456,""aet_0.3"":42630,""ast_0.4"":115175,""art_0.4"":58821,""aet_0.4"":74570,""ast_0.5"":149541,""art_0.5"":76299,""aet_0.5"":116923}","{""sst"":90742,""srt"":56466,""set"":90500,""ast_0.3"":118306,""art_0.3"":44225,""aet_0.3"":48719,""ast_0.4"":160580,""art_0.4"":64363,""aet_0.4"":77248,""ast_0.5"":202855,""art_0.5"":84501,""aet_0.5"":105776}","ISO 5211 F60",1415,3025,343,865,270,230,258,1190,"NPT2"""